idx,compname,prodrate
1,(주)금강텍,2026
2,(주)동산,3063
3,(주)리유산업,0
4,(주)세인무극,2985
5,(주)세진,18100
6,(주)수인산업,5984
7,(주)신흥,1638
8,(주)우정텍스,6091
9,(주)일승섬유,8123
10,(주)자오,5856
11,(주)정우통상,1323
12,(주)제이.엔.피,11719
13,(주)제이앤피제2공장,2119
14,(주)케이엠,22435
15,(주)한국이엔티,9191
16,(주)화성섬유,9637
17,(주)효정,2355
18,금호섬유,1224
19,기하섬유,3062
20,나영섬유,3828
21,남광산업,1824
22,대양섬유,0
23,대우섬유,1402
24,대원섬유,2766
25,대원섬유,2898
26,덕구섬유,3363
27,덕영섬유,2275
28,도운섬유,2370
29,동근산업,1738
30,동보씨엔에스,5999
31,동양산업,1545
32,동해섬유,1419
33,두레산업,3738
34,명동산업,3131
35,명성섬유,2770
36,민성산업,3337
37,보광섬유(주),3645
38,봉천섬유,1884
39,부방텍스,3414
40,비봉섬유,2304
41,삼광산업사,2279
42,삼성직물(주),1841
43,서광산업,2865
44,성동산업,4161
45,세운섬유공업사,2067
46,세웅섬유,2693
47,송이텍스,3509
48,시온텍스,0
49,신한화섬(주)1공장,20916
50,신흥텍스타일,4797
51,아현산업,1964
52,에이디엠,2128
53,영원코프레이션,495
54,영화산업,2563
55,와이디텍스타일(주),8191
56,월성산업,5302
57,일광섬유,2602
58,정원섬유,4681
59,조양텍스,1477
60,조원산업2공장,4905
61,조흥섬유,4941
62,진명섬유,3879
63,창성섬유,6197
64,창신섬유,3402
65,태경산업,1784
66,태림,11039
67,태영타올,3207
68,형제섬유,2346
69,혜성(주)영천지점,6169
